POA_CODE_2016,Total_Persons_Persons,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_hhd_inc_weekly,Average_household_size
POA2000,27411,30,2500,1943,2.4
POA2006,1259,20,0,0,0
POA2007,8845,26,2000,1230,2.4
POA2008,11712,26,2400,1223,2.1
POA2009,12813,34,2597,2280,2.2
POA2010,27734,34,2500,2150,1.8
POA2011,21196,35,2167,1861,1.6
POA2015,9918,33,2500,2375,2.1
POA2016,13213,35,2500,1821,2
POA2017,24695,30,2383,1623,2.1
POA2018,17028,34,2167,1500,2.5
POA2019,10838,36,2600,2028,2.8
POA2020,14772,32,2490,1955,2.7
POA2021,15313,36,3223,2399,2.1
POA2022,12507,36,3000,2157,2.3
POA2023,10716,37,3000,2892,2.5
POA2024,11073,38,3200,2450,2.5
POA2025,7405,41,3033,2529,2.2
POA2026,32490,33,2947,2325,2.3
POA2027,8195,45,3000,2628,2
POA2028,4642,39,3000,2478,2.1
POA2029,9961,38,3000,2270,2.4
POA2030,14079,40,3467,2815,2.8
POA2031,34726,35,2800,2226,2.4
POA2032,16689,28,2500,1273,2.7
POA2033,11570,31,2600,1814,2.5
POA2034,20713,35,2817,2277,2.3
POA2035,34490,37,2600,1736,2.6
POA2036,30407,39,2500,1639,2.7
POA2037,16115,34,2800,1752,2.1
POA2038,9451,37,3000,2337,2.3
POA2039,8725,38,3000,2873,2.3
POA2040,22242,37,3000,2273,2.5
POA2041,15690,41,3033,2672,2.3
POA2042,19129,33,2600,2070,2.2
POA2043,8014,34,2600,2482,2.1
POA2044,7846,35,2600,2092,2.6
POA2045,6457,44,3000,2164,2.8
POA2046,26822,41,2600,2098,2.5
POA2047,11950,40,2900,2353,2.3
POA2048,7938,35,2600,2179,2.3
POA2049,11282,36,2600,1968,2.3
POA2050,8963,31,2550,1782,1.8
POA2052,3425,21,2334,72,1.8
POA2060,13988,37,2574,2316,2
POA2061,5943,41,2700,2415,1.8
POA2062,7006,38,2670,2361,2.2
POA2063,6347,42,3500,3344,3
POA2064,9523,35,2483,2183,2.5
POA2065,30119,36,2687,2416,2.2
POA2066,31626,36,2600,2344,2.5
POA2067,26403,35,2500,1909,2.6
POA2068,16813,40,3033,2735,2.9
POA2069,14253,40,3000,2846,3
POA2070,13505,40,3000,2628,2.9
POA2071,13545,41,3000,2532,3
POA2072,7668,40,2800,2313,2.9
POA2073,16352,40,3023,3010,3.1
POA2074,22258,44,3000,2531,2.8
POA2075,20451,42,3000,2542,3
POA2076,24648,41,2895,2469,2.9
POA2077,37791,37,2167,1807,2.7
POA2079,7095,39,2400,2268,3.1
POA2080,1708,40,2355,2022,3
POA2081,5369,39,2367,2304,3.1
POA2082,5397,40,2383,2120,3
POA2083,1519,49,2000,1574,2.4
POA2084,3625,44,2955,2467,3.2
POA2085,11624,45,3000,2228,2.9
POA2086,13414,40,3000,2511,3.2
POA2087,12798,42,3000,2287,3
POA2088,28475,42,3000,2522,2.4
POA2089,11918,37,2500,2349,2
POA2090,13724,39,2600,2367,2.1
POA2092,7139,40,3700,3384,3.2
POA2093,22873,39,3000,2382,2.8
POA2094,5840,38,3000,2620,2.4
POA2095,15866,36,2882,2449,2.2
POA2096,14657,36,2600,2328,2.5
POA2097,15529,39,2700,2274,2.9
POA2099,39925,38,2400,1805,2.6
POA2100,20911,39,2800,2214,3
POA2101,19395,42,2600,1926,2.6
POA2102,7501,39,2711,2160,2.9
POA2103,10670,44,2600,2001,2.7
POA2104,3620,56,3000,1476,2.3
POA2105,1848,50,2600,2202,2.6
POA2106,9301,43,2700,2066,2.7
POA2107,14669,45,3000,2250,2.8
POA2108,1673,57,3000,2058,2.3
POA2109,3086,25,2100,1453,2
POA2110,10343,42,3500,2739,2.8
POA2111,14412,40,2500,1999,2.5
POA2112,32852,36,2300,1809,2.7
POA2113,18371,37,2383,1917,2.7
POA2114,24057,35,2167,1783,2.6
POA2115,10737,37,2461,1620,2.9
POA2116,6642,37,2167,1553,2.8
POA2117,21285,37,2167,1574,2.8
POA2118,24341,39,2167,1834,3.1
POA2119,11643,43,3000,2693,3.1
POA2120,20208,40,2500,2291,3
POA2121,28214,37,2383,2048,3
POA2122,31160,36,2167,1645,2.8
POA2123,0,0,0,0,0
POA2125,16374,41,2750,2675,3.2
POA2126,18765,42,2500,2443,3.2
POA2127,14532,33,2167,2005,2.4
POA2128,4166,33,2000,1536,2.8
POA2129,0,0,0,0,0
POA2130,7311,36,2167,1940,2.3
POA2131,23841,34,2058,1632,2.5
POA2132,10612,40,2400,1846,2.9
POA2133,11012,39,2167,1597,2.8
POA2134,16033,30,2167,1398,2.8
POA2135,25251,32,2350,1883,3
POA2136,7364,37,2200,1724,2.9
POA2137,26507,39,2500,2110,2.7
POA2138,20023,31,2200,1835,2.6
POA2139,57,54,0,0,0
POA2140,16167,30,2000,1723,2.8
POA2141,28675,33,2000,1480,3.2
POA2142,26292,31,1900,1326,3
POA2143,8921,34,1950,1323,3.1
POA2144,37366,30,1733,1240,3.5
POA2145,79211,34,2167,1712,3
POA2146,17465,35,2050,1724,3
POA2147,36341,37,2058,1617,2.9
POA2148,63071,34,1950,1498,3
POA2150,31500,31,1800,1696,2.6
POA2151,21306,37,2167,1709,2.7
POA2152,11215,37,2167,1639,2.5
POA2153,56562,38,2400,2158,3
POA2154,39594,40,2500,2219,3
POA2155,55452,34,2600,2569,3.5
POA2156,12942,43,2728,2408,3.2
POA2157,3741,41,2392,1985,3.2
POA2158,8575,43,2600,2198,3.1
POA2159,4975,44,2600,1977,3
POA2160,35973,32,2000,1237,3.1
POA2161,31418,31,2000,1155,3.2
POA2162,18622,34,2000,1168,3.2
POA2163,9590,36,1690,844,2.8
POA2164,19624,37,2000,1296,3.1
POA2165,42444,36,1736,1077,3.2
POA2166,52762,36,1552,1080,3.3
POA2167,9633,35,2000,1757,3
POA2168,43451,33,1863,1255,3.3
POA2170,105451,34,2000,1378,3.1
POA2171,34866,32,2258,2093,3.7
POA2172,2781,36,2600,2685,3.3
POA2173,14433,31,2167,2157,3.3
POA2174,2267,31,2643,2280,3.7
POA2175,1837,42,2600,1720,3.2
POA2176,47809,38,2000,1567,3.4
POA2177,15979,36,1950,1411,3.5
POA2178,4230,39,2167,1935,3.5
POA2179,6530,38,2400,1481,3
POA2190,25566,33,2100,1190,3.4
POA2191,6322,39,2378,1440,2.9
POA2192,12718,37,2000,1192,2.8
POA2193,15256,38,2200,1681,2.7
POA2194,24541,34,1742,1239,2.9
POA2195,27154,31,1625,1036,3.2
POA2196,31815,33,2000,1220,3.2
POA2197,9069,34,2080,1225,3.2
POA2198,9038,37,2167,1464,3.2
POA2199,18013,34,2000,1203,3.2
POA2200,43687,32,1828,1178,3.1
POA2203,13707,37,2167,1811,2.3
POA2204,26502,36,2383,1812,2.5
POA2205,19447,30,2167,1763,2.7
POA2206,19404,42,2500,1793,2.9
POA2207,28534,39,2167,1602,2.9
POA2208,12446,40,2350,1564,2.9
POA2209,15769,39,2167,1458,2.9
POA2210,30586,41,2167,1395,2.8
POA2211,16846,40,2167,1536,2.8
POA2212,15847,38,2167,1580,2.9
POA2213,21784,39,2300,1733,2.9
POA2214,3952,39,2253,1851,3
POA2216,28067,34,2167,1540,2.7
POA2217,26843,35,2167,1612,2.7
POA2218,16431,35,2000,1560,2.8
POA2219,13200,44,2300,1532,2.4
POA2220,32487,32,2000,1422,3
POA2221,16481,40,2500,1946,3
POA2222,12786,36,2000,1591,2.8
POA2223,20910,39,2275,1919,2.7
POA2224,14213,43,2600,1768,2.7
POA2225,5407,39,2817,2615,3.1
POA2226,12504,40,2500,2165,2.8
POA2227,14626,40,2574,2051,2.7
POA2228,18361,40,2307,1653,2.6
POA2229,28718,41,2600,1856,2.6
POA2230,28843,40,2383,1906,2.4
POA2231,2267,37,2600,1898,3
POA2232,32870,39,2300,1853,2.6
POA2233,29498,39,2383,2044,2.9
POA2234,30580,40,2383,2400,3.2
